"market","YearQuarter","internal_industry","internal_class","CityType","Pandemic","Go_Stay","leasedSF","avg_occupancy_proportion"
"Austin",2018 Q1,"Finance","A",0,"Pre","Go",15556,1
"Austin",2018 Q2,"Finance","A",0,"Pre","Go",26878,1
"Austin",2018 Q2,"Tech","A",0,"Pre","Go",13766,1
"Austin",2018 Q3,"Finance","A",0,"Pre","Stay",22328,1
"Austin",2018 Q3,"Tech","A",0,"Pre","Go",320102,1
"Austin",2019 Q1,"Tech","O",0,"Pre","Go",56466,1
"Austin",2019 Q1,"Tech","A",0,"Pre","Go",789999,1
"Austin",2019 Q1,"Tech","A",0,"Pre","Stay",16146,1
"Austin",2019 Q1,"Tech","A",0,"Pre","Go",25873,1
"Austin",2019 Q1,"Tech","A",0,"Pre","Go",149999,1
"Austin",2019 Q1,"Tech","A",0,"Pre","Go",93716,1
"Austin",2019 Q1,"Legal","O",0,"Pre","Go",12746,1
"Austin",2019 Q1,"Tech","A",0,"Pre","Go",183911,1
"Austin",2019 Q2,"Finance","A",0,"Pre","Go",24611,1
"Austin",2019 Q2,"Legal","A",0,"Pre","Go",69550,1
"Austin",2019 Q2,"Legal","O",0,"Pre","Go",12454,1
"Austin",2019 Q2,"Finance","A",0,"Pre","Go",129246,1
"Austin",2019 Q2,"Finance","A",0,"Pre","Go",33505,1
"Austin",2019 Q2,"Legal","A",0,"Pre","Go",50000,1
"Austin",2019 Q2,"Legal","A",0,"Pre","Go",21383,1
"Austin",2019 Q2,"Tech","A",0,"Pre","Go",29047,1
"Austin",2019 Q3,"Tech","O",0,"Pre","Stay",19047,1
"Austin",2019 Q3,"Finance","A",0,"Pre","Go",23824,1
"Austin",2019 Q3,"Legal","A",0,"Pre","Go",21000,1
"Austin",2019 Q3,"Finance","A",0,"Pre","Stay",13876,1
"Austin",2019 Q3,"Tech","A",0,"Pre","Go",107377,1
"Austin",2019 Q3,"Tech","O",0,"Pre","Go",12461,1
"Austin",2019 Q3,"Finance","A",0,"Pre","Go",23956,1
"Austin",2019 Q3,"Tech","A",0,"Pre","Go",27155,1
"Austin",2019 Q3,"Legal","A",0,"Pre","Go",25369,1
"Austin",2019 Q3,"Tech","A",0,"Pre","Go",40207,1
